Species,singing_height,mean_source_level,narrowband_frequency
Red-eyed Vireo,14.0,87.0,3100.0
Ovenbird,8.0,92.0,5000.0
Hooded Warbler,10.0,93.0,4000.0
Scarlet Tanager,12.0,94.0,3000.0
Chestnut-sided Warbler,6.0,90.0,4900.0
Common Yellowthroat,1.0,89.0,4800.0
Blue-headed Vireo,2.0,91.0,3300.0
Eastern Towhee,7.0,88.0,3900.0
American Redstart,7.0,91.0,7600.0
Wood Thrush,12.0,95.0,2600.0
Black-throated Green Warbler,12.0,87.0,4800.0
Eastern Wood Pewee,11.0,89.0,4100.0
Black-and-white Warbler,11.0,92.0,6600.0
Tennessee Warbler,13.0,89.0,9500.0
